"Date","Glob_radiation_max","Glob_radiation_mean","Glob_radiation_min","Wind_speed_max","Wind_speed_mean","Wind_speed_min","Wind_gust_max","Wind_gust_mean","Wind_gust_min","Precipitation_mean","Precipitation_sum","Pressure_max","Pressure_mean","Pressure_min","Humidity_max","Humidity_mean","Humidity_min","Temp_1500_max","Temp_1500_mean","Temp_1500_min","Temp_site_max","Temp_site_mean","Temp_site_min","PM10"
"2013-01-01",1,0.125,0,0.9,0.65,0.3,2.1,1.6125,1.1,0,0,985.5,983.5375,982.3,96.1,95.825,95.4,-0.4,-1.6875,-2.5,-1.8,-2.1375,-2.7,51.4
"2013-01-02",1,0.125,0,1.1,0.675,0.3,2.9,1.8125,0.9,0,0,983.9,982.5875,981.8,82.9,79.175,76.9,-2.3,-2.9875,-4.3,3.4,3.2,2.9,44.3
"2013-01-03",3,0.375,0,1.2,0.7375,0.4,2.6,1.725,1,0,0,998.8,997.7875,996.8,94.5,93.5625,92.9,-4.3,-4.525,-4.7,3.3,2.875,2.3,49
"2013-01-04",7,0.875,0,1.3,0.8875,0.6,3.2,2.2125,1.3,0,0,995.1,994.325,993.7,94.2,93.3,92.5,3.3,2.9625,2.6,1.3,0.6875,0.1,61.3
"2013-01-05",6,0.75,0,1.3,1,0.5,4.5,2.85,1.3,0,0,987.3,985.775,985,95.6,94.2625,93.3,3.5,2.9875,2.4,0.9,0.5875,0.3,38.9
"2013-01-06",2,0.25,0,0.9,0.575,0.3,2.3,1.5875,0.8,0,0,988.5,987.8625,987.3,92.2,87.65,81.8,0,-0.25,-0.7,4.5,3.1625,2,30.3
"2013-01-07",2,0.25,0,1.1,0.675,0.3,2.8,1.8625,1.5,0,0,985.9,984.575,984,97.6,96.3,92.6,0.4,-0.025,-0.5,1.4,0.6125,0.2,26.8
"2013-01-08",2,0.25,0,0.9,0.675,0.5,2.3,1.625,1.2,0,0,993.1,992.1875,991.6,79.9,76.25,67.3,-2.1,-3.4125,-4.2,1.7,1.225,0.6,28.5
"2013-01-09",7,0.875,0,1.1,0.7375,0.3,2.4,1.775,0.9,0,0,987.5,987,986.5,86,83.475,81.2,1.6,1.35,1.1,2.3,2.0625,1.7,67.6
"2013-01-10",2,0.25,0,2,1.2625,0.4,4.2,2.8625,1.5,0.075,0.6,980.9,978.9875,978,94,87.4125,83.8,-3.4,-3.475,-3.6,5.9,5.3875,4.3,32.9
"2013-01-11",3,0.375,0,1.4,0.7875,0.5,2.9,1.8,1.3,0,0,973.4,972.7625,972.1,97,95.4875,93.4,-3.7,-4.1,-4.3,1.3,0.075,-1,43.4
"2013-01-12",4,0.5,0,2.5,1.925,1.6,5.4,4.5375,3.4,0,0,982.6,981.6125,980.8,78.1,68.825,60,-7.7,-8.35,-9.1,1.9,0.55,-0.5,23
"2013-01-13",1,0.125,0,1.3,0.7875,0.3,2.6,1.7875,1.4,0,0.9,981.1,980.45,980,77.1,72.75,69.6,-5.3,-5.75,-6.3,0.7,0.5375,0.4,31.6
"2013-01-14",0,0,0,0.8,0.675,0.4,2.5,2.05,1.3,1.85,13.9,978.1,977.2,976.6,93,92.6,91.8,-6.2,-7.1625,-7.9,-1.5,-1.6625,-1.8,29.7
"2013-01-15",1.8,0.225,0,0.9,0.5875,0.2,1.8,1.5125,1.3,0,0,977.4,976.7,976,92.3,91.2125,89.4,-3.9,-4.7625,-5.5,-0.8,-0.9875,-1.1,42.7
"2013-01-16",1.7,0.2125,0,1.1,0.7375,0.2,2.5,1.7375,0.9,0,1.2,969.6,968.3375,967.3,93.7,92.525,90.5,-5.5,-5.775,-6.4,0.1,-0.05,-0.1,25.4
